Date,latent_factor
2023-04-26,11.723876097504206
2023-04-27,11.13098456991658
2023-04-28,10.658387716779782
2023-05-01,11.442031904040723
2023-05-02,11.66147546779913
2023-05-03,11.252304839416695
2023-05-04,11.618743264918736
2023-05-05,10.683779842900737
2023-05-08,10.54952966760457
2023-05-09,10.800236295758753
2023-05-10,10.515954344248994
2023-05-11,11.476141401307732
2023-05-12,12.25881182881885
2023-05-15,11.853739755250935
2023-05-16,12.588843257972897
2023-05-17,12.443273804569209
2023-05-18,13.289313616424108
2023-05-19,12.912403298167776
2023-05-22,13.023664779424408
2023-05-23,13.583460604338187
2023-05-24,14.484281238959547
2023-05-25,15.048878506295024
2023-05-26,14.498416673933116
2023-05-29,14.472174836327671
2023-05-30,14.409868781427937
2023-05-31,14.78465411948922
2023-06-01,12.824963514572708
2023-06-02,13.07523747807608
2023-06-05,12.868570701808503
2023-06-06,12.660503833850811
2023-06-07,12.809158182121136
2023-06-08,11.648991386340978
2023-06-09,12.055669834298921
2023-06-12,12.870139839317767
2023-06-13,12.344019834113144
2023-06-14,11.77687494279538
2023-06-15,10.631488068013294
2023-06-16,10.297596723448185
2023-06-19,10.24428097609577
2023-06-20,10.973676780033779
2023-06-21,10.006542276064756
2023-06-22,10.70644301120439
2023-06-23,11.364093816552595
2023-06-26,11.359572793996296
2023-06-27,11.192850892820276
2023-06-28,11.311674521620697
2023-06-29,11.74133096686006
2023-06-30,11.022160073241265
2023-07-03,11.087167205866637
2023-07-04,11.033453619823113
2023-07-05,11.50444713380211
2023-07-06,11.80984848195337
2023-07-07,10.231005340937005
2023-07-10,10.01518129737591
2023-07-11,9.364418855358972
2023-07-12,7.110464953900402
2023-07-13,6.154204472804666
2023-07-14,6.347647658285989
2023-07-17,6.384853087512526
2023-07-18,5.914404963064337
2023-07-19,6.43689703518426
2023-07-20,7.219765290488326
2023-07-21,7.171279743840466
2023-07-24,7.500998972348099
2023-07-25,7.211756001845521
2023-07-26,6.353431263616495
2023-07-27,7.994415855620585
2023-07-28,7.126810043730744
2023-07-31,7.260314862141814
2023-08-01,8.093680940848516
2023-08-02,9.445364618987306
2023-08-03,9.139696526103391
2023-08-04,8.76607031316262
2023-08-07,8.44703732443295
2023-08-08,9.066248788437823
2023-08-09,8.990715616404975
2023-08-10,9.110090580833283
2023-08-11,9.00424768294886
2023-08-14,9.4501762623201
2023-08-15,10.218632830052657
2023-08-16,10.805077877633845
2023-08-17,11.112093601411098
2023-08-18,10.765132657885355
2023-08-21,10.606840127443496
2023-08-22,10.748939934611393
2023-08-23,10.049435422977146
2023-08-24,11.038076326834858
2023-08-25,10.571519487858616
2023-08-28,10.198033183825553
2023-08-29,9.05245989070487
2023-08-30,8.267033852804113
2023-08-31,8.42244560883045
2023-09-01,8.62456576808837
2023-09-04,8.570493915137082
2023-09-05,9.582487625881223
2023-09-06,9.813484887733091
2023-09-07,9.972462737187733
2023-09-08,9.67239570725525
2023-09-11,9.049009881614797
2023-09-12,9.309462673976608
2023-09-13,9.105280285833144
2023-09-14,9.263634968825471
2023-09-15,9.30123189387521
2023-09-18,8.99640838596345
2023-09-19,9.027756221729051
2023-09-20,9.380732803038075
2023-09-21,10.599675772220523
2023-09-22,10.576221172140254
2023-09-25,11.030985497172944
2023-09-26,12.0267083082338
2023-09-27,12.309573368462942
2023-09-28,11.857049322988093
2023-09-29,12.174879427300507
2023-10-02,13.329748596245567
2023-10-03,14.106390242978971
2023-10-04,13.96052162197226
2023-10-05,13.659306813972156
2023-10-06,12.849221806823714
2023-10-09,12.156517535708835
2023-10-10,11.737263437872262
2023-10-11,11.392963704927098
2023-10-12,12.42873289571785
2023-10-13,12.077567288039145
2023-10-16,11.213325391593491
2023-10-17,11.356574322587987
2023-10-18,11.541603941623785
2023-10-19,11.407098501636103
2023-10-20,11.368702761346109
2023-10-23,10.75375771156974
2023-10-24,11.219514489921696
2023-10-25,11.57377342886053
2023-10-26,11.914229495944546
2023-10-27,11.534146361218886
2023-10-30,11.102772092152554
2023-10-31,11.407487846734721
2023-11-01,11.344488296393905
2023-11-02,9.896426603660771
2023-11-03,8.554334478209515
2023-11-06,8.869337280670774
2023-11-07,9.539622060265168
2023-11-08,9.87081550956278
2023-11-09,10.323187785680872
2023-11-10,9.972128860727912
2023-11-13,9.712264524937686
2023-11-14,7.650758016258006
2023-11-15,8.085514609608364
2023-11-16,8.141032404251229
